2017-07-31 14:04:03,654 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865564)
2017-07-31 14:04:03,660 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865184)
2017-07-31 14:04:03,786 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14888698)
2017-07-31 14:04:03,787 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14870550)
2017-07-31 14:04:03,783 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14881318)
2017-07-31 14:04:03,817 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14856361)
2017-07-31 14:43:30,012 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 14:43:30,479 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Retrieved 200 records
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14863580)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14868033)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14880659)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14871127)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14866573)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14877342)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14859740)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14861925)
2017-07-31 14:43:30,671 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14865112)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14887414)
2017-07-31 14:43:30,670 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14865043)
2017-07-31 14:43:30,671 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14885733)
2017-07-31 14:43:30,692 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14884992)
2017-07-31 14:43:30,693 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14859602)
2017-07-31 14:43:30,834 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14875604)
2017-07-31 14:43:30,835 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14864465)
2017-07-31 14:43:30,907 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14883755)
2017-07-31 14:43:30,908 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14883694)
2017-07-31 14:43:30,950 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14871106)
2017-07-31 14:43:30,958 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14884657)
2017-07-31 14:43:30,958 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14860467)
2017-07-31 14:43:30,965 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14876398)
2017-07-31 14:43:30,970 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14882902)
2017-07-31 14:43:31,085 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14874183)
2017-07-31 14:43:31,086 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14859280)
2017-07-31 14:43:31,093 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14886155)
2017-07-31 14:43:31,094 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14873731)
2017-07-31 14:43:31,107 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14878244)
2017-07-31 14:43:31,107 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14882259)
2017-07-31 14:43:31,127 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14865365)
2017-07-31 14:43:31,128 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14870550)
2017-07-31 14:43:31,135 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14881448)
2017-07-31 14:43:31,136 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14865380)
2017-07-31 14:43:31,146 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14856361)
2017-07-31 14:43:31,161 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14870642)
2017-07-31 14:43:31,162 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14876685)
2017-07-31 14:45:37,309 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 14:45:37,722 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Retrieved 200 records
2017-07-31 14:45:37,968 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14880659)
2017-07-31 14:45:37,968 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14865043)
2017-07-31 14:45:37,968 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14861205)
2017-07-31 14:45:37,968 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14859740)
2017-07-31 14:45:37,968 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14861925)
2017-07-31 14:45:37,968 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14865112)
2017-07-31 14:45:37,969 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14887414)
2017-07-31 14:45:37,968 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14885733)
2017-07-31 14:45:37,969 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14866573)
2017-07-31 14:45:37,969 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14884992)
2017-07-31 14:45:37,969 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14877342)
2017-07-31 14:45:37,969 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14871127)
2017-07-31 14:45:37,991 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14869943)
2017-07-31 14:45:37,992 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14859602)
2017-07-31 14:45:38,049 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14864131)
2017-07-31 14:45:38,050 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14878972)
2017-07-31 14:45:38,080 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14887929)
2017-07-31 14:45:38,081 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14878381)
2017-07-31 14:45:38,108 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14869138)
2017-07-31 14:45:38,109 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14868890)
2017-07-31 14:45:38,203 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14883694)
2017-07-31 14:45:38,204 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14876164)
2017-07-31 14:45:38,220 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14877963)
2017-07-31 14:45:38,221 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14884540)
2017-07-31 14:45:38,235 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14874910)
2017-07-31 14:45:38,236 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14877220)
2017-07-31 14:45:38,243 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14858529)
2017-07-31 14:45:38,253 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14883755)
2017-07-31 14:45:38,259 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14878981)
2017-07-31 14:45:38,265 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14855473)
2017-07-31 14:45:38,394 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14877157)
2017-07-31 14:45:38,395 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14863307)
2017-07-31 14:45:38,462 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14876685)
2017-07-31 14:56:14,013 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Request for GetBestStories()
2017-07-31 14:56:14,459 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Retrieved 200 records
2017-07-31 14:56:14,683 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14865112)
2017-07-31 14:56:14,683 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14869943)
2017-07-31 14:56:14,683 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14887414)
2017-07-31 14:56:14,683 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14880659)
2017-07-31 14:56:14,684 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14871127)
2017-07-31 14:56:14,683 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14877342)
2017-07-31 14:56:14,683 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14868033)
2017-07-31 14:56:14,684 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14859740)
2017-07-31 14:56:14,683 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14861925)
2017-07-31 14:56:14,684 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItem(14866573)
